"7684","35.222968333333334","32.22788","2020-05-16 12:13:10","1","7.3"
"7689","35.22296666666667","32.22788","2020-05-16 12:13:10","1","7.3"
"7694","35.22296333333334","32.22787833333334","2020-05-16 12:13:10","1","7.4"
"7696","35.222955","32.22787666666667","2020-05-16 12:13:10","1","7.4"
"7699","35.22295833333333","32.22787166666667","2020-05-16 12:13:10","1","7.5"
"7702","35.22296333333334","32.22786333333333","2020-05-16 12:13:10","1","7.5"
"7705","35.222955","32.22786166666666","2020-05-16 12:13:10","1","7.6"
"7706","35.222935","32.227848333333334","2020-05-16 12:13:10","1","7.7"
"7711","35.22295999999999","32.22786333333333","2020-05-16 12:13:10","1","7.4"
"7714","35.222973333333336","32.22787166666667","2020-05-16 12:13:10","1","7.4"
"7775","35.22136171348393","32.227300303056836","2020-05-16 12:13:46","2","6.5"
"7780","35.221371771767735","32.227299800142646","2020-05-16 12:13:46","2","5"
"7785","35.22136414423585","32.22730826586485","2020-05-16 12:13:46","2","4"
"7793","35.22134478203952","32.22732301801443","2020-05-16 12:13:46","2","3.5"
"7806","35.221332628279924","32.22733022645116","2020-05-16 12:13:46","2","3.5"
"7814","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3.5"
"7823","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3.5"
"7829","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7835","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7838","35.22132616967976","32.22732618624029","2020-05-16 12:14:36","3","6"
"7843","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7844","35.22130125098474","32.22734368675793","2020-05-16 12:14:36","3","6"
"7848","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7849","35.22131427191198","32.22736857365817","2020-05-16 12:15:17","4","7"
"7851","35.2212791706804","32.22734286107076","2020-05-16 12:14:36","3","4"
"7854","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7855","35.22129574790597","32.22736513707787","2020-05-16 12:15:17","4","7"
"7859","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","2.5"
"7860","35.22127579897642","32.22735885065049","2020-05-16 12:15:17","4","6.5"
"7861","35.221258708148575","32.227353601298226","2020-05-16 12:14:36","3","4"
"7865","35.22124136343566","32.227358201233095","2020-05-16 12:14:36","3","4"
"7866","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7867","35.22126004099846","32.227353821508586","2020-05-16 12:15:17","4","6.5"
"7871","35.221226921662506","32.227360385750174","2020-05-16 12:14:36","3","4"
"7872","35.22124830633402","32.227349882014096","2020-05-16 12:15:17","4","6"
"7873","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7878","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7879","35.221213686477064","32.22736477326138","2020-05-16 12:14:36","3","4"
"7880","35.22123179398477","32.227357593365014","2020-05-16 12:15:17","4","6"
"7884","35.221199889238406","32.22736902615016","2020-05-16 12:14:36","3","4"
"7885","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","2.5"
"7886","35.22121964022517","32.227360401302576","2020-05-16 12:15:17","4","5.5"
"7889","35.221184213217526","32.22737155992882","2020-05-16 12:14:36","3","4"
"7891","35.22120589390397","32.227366687729955","2020-05-16 12:15:17","4","5.5"
"7892","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7897","35.22117013006662","32.227367504541085","2020-05-16 12:14:36","3","4"
"7898","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7899","35.221190890297294","32.227370920591056","2020-05-16 12:15:17","4","5"
"7904","35.221151780044394","32.227368210701385","2020-05-16 12:14:36","3","4"
"7905","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","2.5"
"7906","35.22117446176708","32.2273736866191","2020-05-16 12:15:17","4","5"
"7912","35.221137666600015","32.22736601048982","2020-05-16 12:14:36","3","4"
"7913","35.221163062378764","32.22737557254732","2020-05-16 12:15:17","4","5"
"7914","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7918","35.221127537418006","32.2273635493124","2020-05-16 12:14:36","3","4"
"7919","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7920","35.22114998660982","32.2273773746565","2020-05-16 12:15:17","4","5"
"7926","35.22111590100403","32.227360749160695","2020-05-16 12:14:36","3","4"
"7927","35.221129450947046","32.227377919480205","2020-05-16 12:15:17","4","5"
"7928","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7932","35.2210982556446","32.22736029500915","2020-05-16 12:14:36","3","4"
"7933","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7934","35.22111092694104","32.227377626113594","2020-05-16 12:15:17","4","4.5"
"7938","35.22110044956207","32.22738219425082","2020-05-16 12:15:17","4","5"
"7939","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","2.5"
"7940","35.22107877564049","32.227359734256915","2020-05-16 12:14:36","3","4"
"7946","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7947","35.22106106697991","32.227358893054685","2020-05-16 12:14:36","3","4"
"7948","35.22109257057309","32.227389151230454","2020-05-16 12:15:17","4","5"
"7950","35.22132064215839","32.22733818925917","2020-05-16 12:13:46","2","3"
"7951","35.22104916067268","32.2273611945994","2020-05-16 12:14:36","3","4"
"7953","35.22108159027994","32.227392168715596","2020-05-16 12:15:17","4","5"
